Product Name,Category,Description,Image
Zucchini Yellow-1 piece,Exotics,"These are yellow in colour, it contains zero fat and is high in water and fiber. It also contains significant amounts of vitamin B6, riboflavin, folate, C,  & K and minerals like potassium and manganese. The summer squash also contains antioxidant and anti-inflammatory phytonutrients. Health benefits are improves digestion, slow down aging, lower blood sugar levels, supports healthy circulation and healthy heart, improves eye health, boosts energy, weight loss etc.",
Zucchini Green-1 piece,Exotics,"It can be dark or light green. The zucchini originates in Americas. Zucchini contains a variety of vitamins, minerals and beneficial plant compounds. Cooked zucchini is particularly high in vitamin A, though raw zucchini contains slightly less. Zucchini are high in antioxidants, contributes to healthy digestion, may reduce blood sugar levels, may improve heart health, may strengthen your vision, may aid weight loss etc.",
Red Radish-250 gms,Exotics,"Red radishes are one of the most commonly used radishes in culinary preparations and can be utilized in both cooked and raw preparations, making them a versatile ingredient in the kitchen. The Red radish is grown mainly for its root; a small, scarlet globe with a crisp and peppery, translucent, white flesh. Red radishes contain vitamin C, folate, fiber and potassium. Like many radishes, Red radishes contain active enzymes that are known to aid in digestion. ",
Red Cabbage-1 Piece,Exotics,"The red cabbage is a kind of cabbage, also known as purple cabbage. Its leaves are dark red/purple coloured. It is a good source of fiber, vitamins and minerals, especially vitamin A and potassium. Health benefits are boost immunity, help to lose weight, fights inflammation, boosts metabolism, treats ulcers etc. ",
Parsley-100 gms,Exotics,"It is widely used as a fresh culinary herb or dried spice. It's bright green in color and has a mild, bitter flavor that pairs well with many recipes. Often labeled as one of the most powerful disease-fighting plants. Health benefits are preventing cancer, protecting against diabetes, improving bone health etc.",
Pak choi-1 Piece,Exotics,"Pak choi is a type of Chinese cabbage. Chinensis varieties do not form heads and have green leaf blades with lighter bulbous bottoms instead, forming a cluster reminiscent of mustard greens. These vegetables are a good supply of nutrients and are low in calories. Benefits are protection from cancer, bone health, blood pressure, heart health, inflammation, immunity, skin glow etc",
Oregano-50 gms,Exotics,"Oregano is considered a staple herb in many cuisines around the world. It has a strong flavor and brings warmth to dishes, along with a hint of subtle sweetness. It can be found fresh, dried or as an oil, and all are said to have significant health benefits. Oregano is high in antioxidants, which can help prevent damage by neutralizing disease-causing free radicals. May help fight bacteria, could have anticancer properties, may help reduce viral infection, could decrease inflammation.",
Mushroom Oyester- 200 gms,Exotics,"Oyster mushroom is an edible mushroom which was originated from Germany during the World War I. Oyster mushroom are broad and fan or oyster shape. Health benefits are maintain blood sugar level, immunity system, cardiovascular conditions, skin problems, brain health, cures anemia, provides energy, prevents tooth decay, alcoholism etc",
Mushroom (Button)-200 gms,Exotics,"Mushrooms are fleshy and edible fruit bodies of several species of macrofungi. A 
commonly eaten mushroom is a white mushroom having carbohydrates, protein, fat,riboflavin, niacin and pantothenic acid.",
Mix Capsicum- 2 pcs,Exotics,"Bell peppers are fruits that belongs to the nightshade family. They are low in calories and exceptionally rich in vitamin C and other antioxidants. Healthy benefits are eye health, Anemia prevention etc",
Iceberg Lettuce-1 Piece,Exotics,"Iceberg lettuce is one of the main ingredients in salad preparations and is known for its crunchy texture. It has comparatively fewer nutrientsthan other greens you may find in salads. Iceberg lettuce is an excellent source of potassium and manganese. This lettuce is rich in vitamin A, K, C, thiamin, vitamin B6, and folate (vitamin B9). There are many health benefits of iceberg lettuce that include weight loss, prevention of birth defects, and reduced risk of many diseases.",
Cherry Tomato Yellow-200 gms,Exotics,"Yellow cherry tomatoes are slightly less acidic than red varieties, and therefore they are somewhat milder and sweeter in flavor. Yellow cherry tomatoes are tender-firm and thin-skinned with two seed cavities carrying tiny, edible seeds. Health benefits are antioxidants, very nutritious, cardiovascular health, counter the negative effects of smoking, digestive health, lowers hypertension, manage diabetes, skincare etc",
Cherry Tomato Red-200 gms,Exotics,"A popular variety of cherry tomatoes is Sweet Million, which bear long clusters of sweet yet tomatoey red fruit. Pearly round or plum-shaped, tangy or sweet, red or gold, cherry tomatoes top off summer salads, sweeten party trays, and treat the kids. Nutrition benefits are Fat free, saturated fat free, cholesterol free, low in sodium, an excellent source of vitamins A and C and a good source of vitamin K and potassium.",
Celery-500 gms,Exotics,"Celery is a marshland plant cultivated as a vegetable since antiquity. Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar, either its stalks, leaves or hypocotyl are eaten and used in cooking. Celery seed is also used as a spice and its extract have been used in herbal medicine. Celery is rich in vitamin K and it also contains folate, vitamin A, potassium, vitamin C and dietary fiber. Health benefits are lowering inflammation, reducing blood pressure, reducing the risk of cancer etc.",
