id,category en,name mr,name en,category_mr,,,,,,,,,,,,,,,,,,,,,,,
1,Namkeen,?????? ???,Namkin Shev,?????,,,,,,,,,,,,,,,,,,,,,,,
2,Namkeen,???? ???,Lasun Shev,?????,,,,,,,,,,,,,,,,,,,,,,,
3,Namkeen,????? ??????, Potato Wafers,?????,,,,,,,,,,,,,,,,,,,,,,,
4,Namkeen,?????? ??????,Tomato Wafers,?????,,,,,,,,,,,,,,,,,,,,,,,
5,Namkeen,?????????,Bhujiya Shev,?????,,,,,,,,,,,,,,,,,,,,,,,
6,Namkeen,??????,Pharsana,?????,,,,,,,,,,,,,,,,,,,,,,,
7,Namkeen,????,Bhadang,?????,,,,,,,,,,,,,,,,,,,,,,,
8,Namkeen,?????? ??????,Namkin peas,?????,,,,,,,,,,,,,,,,,,,,,,,
9,Namkeen,??????,Futane,?????,,,,,,,,,,,,,,,,,,,,,,,
10,Namkeen,?????? ??????,Banana Wafers,?????,,,,,,,,,,,,,,,,,,,,,,,
11,Namkeen,????????????,Namkin Groundnuts,?????,,,,,,,,,,,,,,,,,,,,,,,
12,Namkeen,?????? ??????,Namkin Mung Dal,?????,,,,,,,,,,,,,,,,,,,,,,,
13,Namkeen,????? ????????,Masala Groundnuts,?????,,,,,,,,,,,,,,,,,,,,,,,
14,Chikki,???????? ??????,Peanut Chikki,??????,,,,,,,,,,,,,,,,,,,,,,,
15,Chikki,????? ??????,Coconut Chikki,??????,,,,,,,,,,,,,,,,,,,,,,,
16,Chikki,????? ??????,Mix Chikki,??????,,,,,,,,,,,,,,,,,,,,,,,
17,Chikki,???????? ??????,Dryfruit Chikki,??????,,,,,,,,,,,,,,,,,,,,,,,
18,Daily Food Products,???? ????,M. Sugar,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
19,Daily Food Products,????????,S. Sugar,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
20,Daily Food Products,???? ????,Cristal Sugar,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
21,Daily Food Products,???????? ???,Organic Gaggery,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
22,Daily Food Products,????????,Jaggery Powder,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
23,Daily Food Products,????,Coffee,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
24,Daily Food Products,????????,Tea,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
25,Daily Food Products,????????,Groundut,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
26,Daily Food Products,??????,Rice,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
27,Daily Food Products,???,Ghee,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
28,Daily Food Products,?????,Coconut,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
29,Daily Food Products,???????,Papad masala,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
30,Daily Food Products,"????, ",Tamarind,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
31,Daily Food Products,????,Kokam,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
32,Daily Food Products,?????,Amchur,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
33,Daily Food Products,????? ????,Baking soda,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
34,Daily Food Products,"????,???,",Kat,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
35,Daily Food Products,????,Haliv,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
36,Daily Food Products,????,Rale,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
37,Daily Food Products,???????,Gum,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
38,Daily Food Products,????????,Sago,????????????? ??????? ?????,,,,,,,,,,,,,,,,,,,,,,,
