"";"";""
"PRODUCT LIST IN ENGLISH";"SPICES;";"NAMKIN;"
"";"Red Chilli Powder";"Namkin Shev"
"MILK AND MILK PRODUCTS;";"Special Garam Masala";"Lasun Shev"
"Milk";"Onion Garlic Masala";"Namkin Potato"
"Curd";"Pickle Masala";"Bhujiya Shev"
"Butter";"Turmeric Powder";"Pharsana"
"Cheese";"Coriander Powder";"Bhadang"
"Paneer";"Chinamon";"Namkin peas"
"Ghee";"Clove";"Namkin Groundnuts"
"Lassi";"Black paper";"Namkin Mung Dal"
"Khawa";"Bey leaf";"Masala Groundnuts"
"Shrikhand";"Spicy Cardamom";""
"Aamrkhand";"Green Cardamom";"PAPAD;"
"Basundi";"Mustard Seed";"Black Gram Papad"
"Scented milk";"Whole Turmeric";"Ragi Paapad"
"Rabdi";"Poppy Seed";"Sago Papad"
"Ice-creame";"Anice";" Potato Papad"
"Tak";"Coriander Seed";"Rice Papad"
"Milk poweder";"Almond Flowers";""
"Green Piece";"Nagkesar";"DAILY USED MATERIAL;"
"";"Fenugreek Seed";"Bath Soap"
"DAILY USED PRODUCTS ;";"White Sesame";"Cloth Soap"
"M. Sugar";"Ajwain Seed";"Utensils soap"
"S. Sugar";"Mesua ferrea";"Nirma Powder"
"Cristal Sugar";"Fenugreek dal";"Nil"
"Organic Gaggery";"Mustard dal";"Bliching Powder"
"Jaggery Powder";"Nutmeg powder";"Baby Soap"
"Coffee";"Ginger powder";"Baby Past"
"Groundut";"Ajwain powder";"Toothpest"
"Rice";"Asafoetida powder";"Baby Shampoo"
"Ghee";"";"Shampoo"
"Coconut";"DRY FRUITS;";"Baby Oil"
"Papad masala";"Cashew";"Thooth Brush"
"Tamarind";"Almond ";"Bady Wash"
"Kokam";"Pistachois";"Face Wash"
"Amchur";"Walnuts";"Face Cream"
"Baking soda";"Brown Raisin";"Body Lotion"
"Baking pawder";"Dates";"Powder"
"Ajinomoto";"Dry fig";"Perfume"
"Lime";"Dry Dates";"Hair Oil"
"Kat";"Black Raisin";"Gel"
"Pachak";"Yellow Raisin";"Comb"
"Mouth Freshner";"Grey matter BI";"Tikli"
"Haliv";"Green Beans";"Grime"
"Rale";"";"Toilet Brush"
"Gum";"INSTANT MIX;";"Cloth Brush"
"Coconut Meat";"Dhokla";"Toilate Cleaner"
"Coconut khis";"Gulabjamun";"Scrub of Wire"
"Poha(flatened rice)";"Idli";"Srub of Nylon"
"Stony Poha";"Dosa";"Matchbox"
"Baked Poha";"";"Lighter"
"Maized Poha";"BAKERY PRODUCTS;";"Blade"
"Puffed Rice";"Khari";"Sheving Blade"
"Sago (Vari Tandul)";"Tost";"Sheving Cream"
"Stony Salt,Fine Salt";"Butter";"Alum"
"Vermicelli(Shevya)";"Bread";"Gulabpani"
"Edible colour";"Pav";"Sale"
"Lineseed, Niger seed";"Cream Roll";"Bags"
"Papad khar";"Nanket";"Myrtle( mehndi)"
"";"Cake";"Hair dye"
"PULSES;";"Donut";"Candles"
"Gram";"Cup cake";"Sanitary pad"
"Red Gram";"Small puri for Pani pury";""
"Green gram";"Chavanprash";"MATERIAL OF WORSHIP;"
"Red lentil";"Mix jam";"Turmeric"
"Black Gram";"Sauce";"Kunku"
"Moth bean";"Bhakar wadi";"Bukka"
"Chana Dal";"Chakli";"Gulal"
"";"Chiwada";"Ashtigandh"
"LEGUMES;";"Chocolate";"Incense Stick"
"Green lentil";"Amala Candy ,Amla Supari";"Dhoop"
"yellow lentil";"Sonpapdi";"Incense "
"Cowpea";"Gulamba";"Champhor"
"Black French";"Gulkand";"Gandh Tika"
"Bean";"Namkin Biscuit";"Cosmetic"
"Horse Gram";"Cream Biscuit";"Rangoli"
"Chhole";"Sweet Biscuit";"White Rangoli"
"Whole lentil";"";"Colour Rangoli"
"Soyabean";"LADOO;";""
"Pea";"Groundnut ladoo";""
"";"Seame Ladoo";""
"GRAIN;";"Amaranth Ladoo";""
"Wheat";"Gum Lood";""
"Jowar";"";""
"Bajara";"WAFERS;";""
"Ragi";"Banana Wafers";""
"Khapli Wheat";"Potato Wafers";""
"Green Gram";"Tomato Wafers";""
"White Gram";"Kurkure";""
"";"";""
"FLOURS;";"CONDIMENTS;";""
"Wheat flour";"Groundnut Chutney";""
"Rice Flour";"Seasame Chutney";""
"Besan Flour";"Flax Seed Chuteny";""
"Maida(white flour)";"Niger Seed Chutney";""
"Anarsa flour";"Dri Coconut Chutney";""
"Rava";"Mint Chutney";""
"Chakli flour";"Kadipatta Chatney";""
"Bajari  flour";"Thecha";""
"Flour for fast";"";""
"Satha flour";"PICKLE;";""
"Black gram flour";"Mango pickle";""
"";"Lemon Pickle";""
"OIL;";"Mix Pickle";""
"Groundnut";"Chilli pickle";""
"Safflower";"";""
"Soyabean";"BETEL NUT;";""
"Sunflower";"Chikni Supari";""
"Palm";"Kacchi Supari";""
"Mustard";"Baked Supari";""
"Wooden churner";"Whole Supari";""
"";"";""
"";"";""
