"MILK AND MILK PRODUCTS;";"SPICES;";"NAMKIN;";"DAILY USED PRODUCTS ;";"DRY FRUITS;";"PAPAD;";"DAILY USED MATERIAL;";"INSTANT MIX;";"MATERIAL OF WORSHIP;";"PULSES;";"LADOO;";"LEGUMES;";"GRAIN;";"CONDIMENTS;";"BETEL NUT;";"WAFERS;";"Biscuits;";"PICKLE;";"BAKERY PRODUCTS;";"FLOURS;";"OIL;"
"Milk";"Red Chilli Powder";"Namkin Shev";"M. Sugar";"Cashew";"Black Gram Papad";"Bath Soap";"Dhokla";"Turmeric";"Gram";"Groundnut ladoo";"Green lentil";"Wheat";"Groundnut Chutney";"Chikni Supari";"Banana Wafers";"Namkin Biscuit";"Mango pickle";"Khari";"Wheat flour";"Groundnut"
"Curd";"Special Garam Masala";"Lasun Shev";"S. Sugar";"Almond ";"Ragi Paapad";"Cloth Soap";"Gulabjamun";"Kunku";"Red Gram";"Seame Ladoo";"yellow lentil";"Jowar";"Seasame Chutney";"Kacchi Supari";"Potato Wafers";"Cream Biscuit";"Lemon Pickle";"Tost";"Rice Flour";"Safflower"
"Butter";"Onion Garlic Masala";"Namkin Potato";"Cristal Sugar";"Pistachois";"Sago Papad";"Utensils soap";"Idli";"Bukka";"Green gram";"Amaranth Ladoo";"Cowpea";"Bajara";"Flax Seed Chuteny";"Baked Supari";"Tomato Wafers";"Sweet Biscuit";"Mix Pickle";"Butter";"Besan Flour";"Soyabean"
"Cheese";"Pickle Masala";"Bhujiya Shev";"Organic Gaggery";"Walnuts";" Potato Papad";"Nirma Powder";"Dosa";"Gulal";"Red lentil";"Gum Lood";"Black French";"Ragi";"Niger Seed Chutney";"Whole Supari";"Kurkure";"";"Chilli pickle";"Bread";"Maida(white flour)";"Sunflower"
"Paneer";"Turmeric Powder";"Pharsana";"Jaggery Powder";"Brown Raisin";"Rice Papad";"Nil";"";"Ashtigandh";"Black Gram";"";"Bean";"Khapli Wheat";"Dri Coconut Chutney";"";"";"";"";"Pav";"Anarsa flour";"Palm"
"Ghee";"Coriander Powder";"Bhadang";"Coffee";"Dates";"";"Bliching Powder";"";"Incense Stick";"Moth bean";"";"Horse Gram";"Green Gram";"Mint Chutney";"";"";"";"";"Cream Roll";"Rava";"Mustard"
"Lassi";"Chinamon";"Namkin peas";"Groundut";"Dry fig";"";"Baby Soap";"";"Dhoop";"Chana Dal";"";"Chhole";"White Gram";"Kadipatta Chatney";"";"";"";"";"Nanket";"Chakli flour";"Wooden churner"
"Khawa";"Clove";"Namkin Groundnuts";"Rice";"Dry Dates";"";"Baby Past";"";"Incense ";"";"";"Whole lentil";"";"Thecha";"";"";"";"";"Cake";"Bajari  flour";""
"Shrikhand";"Black paper";"Namkin Mung Dal";"Ghee";"Black Raisin";"";"Toothpest";"";"Champhor";"";"";"Soyabean";"";"";"";"";"";"";"Donut";"Flour for fast";""
"Aamrkhand";"Bey leaf";"Masala Groundnuts";"Coconut";"Yellow Raisin";"";"Baby Shampoo";"";"Gandh Tika";"";"";"Pea";"";"";"";"";"";"";"Cup cake";"Satha flour";""
"Basundi";"Spicy Cardamom";"";"Papad masala";"Grey matter BI";"";"Shampoo";"";"Cosmetic";"";"";"";"";"";"";"";"";"";"Small puri for Pani pury";"Black gram flour";""
"Scented milk";"Green Cardamom";"";"Tamarind";"Green Beans";"";"Baby Oil";"";"Rangoli";"";"";"";"";"";"";"";"";"";"Chavanprash";"";""
"Rabdi";"Mustard Seed";"";"Kokam";"";"";"Thooth Brush";"";"White Rangoli";"";"";"";"";"";"";"";"";"";"Mix jam";"";""
"Ice-creame";"Whole Turmeric";"";"Amchur";"";"";"Bady Wash";"";"Colour Rangoli";"";"";"";"";"";"";"";"";"";"Sauce";"";""
"Tak";"Poppy Seed";"";"Baking soda";"";"";"Face Wash";"";"";"";"";"";"";"";"";"";"";"";"Bhakar wadi";"";""
"Milk poweder";"Anice";"";"Baking pawder";"";"";"Face Cream";"";"";"";"";"";"";"";"";"";"";"";"Chakli";"";""
"Green Piece";"Coriander Seed";"";"Ajinomoto";"";"";"Body Lotion";"";"";"";"";"";"";"";"";"";"";"";"Chiwada";"";""
"";"Almond Flowers";"";"Lime";"";"";"Powder";"";"";"";"";"";"";"";"";"";"";"";"Chocolate";"";""
"";"Nagkesar";"";"Kat";"";"";"Perfume";"";"";"";"";"";"";"";"";"";"";"";"Amala Candy ,Amla Supari";"";""
"";"Fenugreek Seed";"";"Pachak";"";"";"Hair Oil";"";"";"";"";"";"";"";"";"";"";"";"Sonpapdi";"";""
"";"White Sesame";"";"Mouth Freshner";"";"";"Gel";"";"";"";"";"";"";"";"";"";"";"";"Gulamba";"";""
"";"Ajwain Seed";"";"Haliv";"";"";"Comb";"";"";"";"";"";"";"";"";"";"";"";"Gulkand";"";""
"";"Mesua ferrea";"";"Rale";"";"";"Tikli";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Fenugreek dal";"";"Gum";"";"";"Grime";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Mustard dal";"";"Coconut Meat";"";"";"Toilet Brush";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Nutmeg powder";"";"Coconut khis";"";"";"Cloth Brush";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Ginger powder";"";"Poha(flatened rice)";"";"";"Toilate Cleaner";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Ajwain powder";"";"Stony Poha";"";"";"Scrub of Wire";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Asafoetida powder";"";"Baked Poha";"";"";"Srub of Nylon";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Maized Poha";"";"";"Matchbox";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Puffed Rice";"";"";"Lighter";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Sago (Vari Tandul)";"";"";"Blade";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Stony Salt,Fine Salt";"";"";"Sheving Blade";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Vermicelli(Shevya)";"";"";"Sheving Cream";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Edible colour";"";"";"Alum";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Lineseed, Niger seed";"";"";"Gulabpani";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"Papad khar";"";"";"Sale";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Bags";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Myrtle( mehndi)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Hair dye";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Candles";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Sanitary pad";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
