"Category";"Name";"Description"
"Fruits";"Apple Indian-Pack of 2";"It is originated from northen India. It is a very good source of Vitamin 'C', dietary fiber,
flavonoids and antioxidants. Apples are low in calories."
"Fruits";"Apple Indian-Pack of 4";"It is originated from northen India. It is a very good source of Vitamin 'C', dietary fiber,
flavonoids and antioxidants. Apples are low in calories."
"Veggies";"Arbi-250 gms";"Scientifically known as Colocasia esculenta, very good source of multivitamins,
excellent energy booster, rich in dietary fiber"
"Veggies";"Arbi-500 gms";"Scientifically known as Colocasia esculenta, very good source of multivitamins,
excellent energy booster, rich in dietary fiber"
"Exotics";"Baby Corn-100 gms";"Baby corn is immature ears and harvesting is done at silk emergence stage. Low in Calorie,
rich in fiber, stimulates digestion"
"Veggies";"Beetroot-250 gms";"Beetroot is the taproot portion of beet plant. Great source of fiber, vitamin B9,
manganese, potassium, iron & Vitamin C"
"Veggies";"Beetroot-500 gms";"Beetroot is the taproot portion of beet plant. Great source of fiber, vitamin B9,
manganese, potassium, iron & Vitamin C"
"Veggies";"Cabbage-1 Piece";"Cabbage is cruciferous vegetable, green in colour, may protect against the negative effect
of radiation and against cancer. It is a good source of vitamin C & K, it helps to improve 
digestion, keep heart healthy."
"Veggies";"Carrot Local-250 gms";"Carrot is a root vegetables and mainly composed of water and carbs. It is fresh orange in colour. Carrots contain vitamin A, antioxidants, minerals and fiber. It helps to reduce 
the risk of Cancer and cardiovascular diesease."
"Veggies";"Carrot Local-500 gms";"Carrot is a root vegetables and mainly composed of water and carbs. It is fresh orange in colour. Carrots contain vitamin A, antioxidants, minerals and fiber. It helps to reduce 
the risk of Cancer and cardiovascular diesease."
"Veggies";"Coconut Medium-1 Piece";"Coconut is a fruit having hard brown coating with thin white coloured inner flesh.
Despite being high in saturated fat, coconut is cholesterol free and low in sodium."
"Veggies";"Curry Leaves-50 gms";"The main nutrients found in curry leaves are carbohydrates, energy, fiber, calcium, 
phosphorous, iron, magnesium, copper and minerals. Also contains various vitamins 
like vitamin C, vitamin A, vitamin B, vitamin E, antioxidants , amino acids & flavonoids."
"Veggies";"Garlic Peeled-100 gms";"Garlic is a plant in the onion family that's grown for its distinctive taste and health 
benefits. It contains sulphur compounds, which are believed to bring some of the 
health benefits."
