"id";"category en";"name mr";"name en";"category_mr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Namkeen";"नामकिन शेव";"Namkin Shev";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Namkeen";"लसूण शेव";"Lasun Shev";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Namkeen";"बटाटा वेफर्स";" Potato Wafers";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Namkeen";"टोमॅटो वेफर्स";"Tomato Wafers";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Namkeen";"आलूभुजिया";"Bhujiya Shev";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Namkeen";"फरसाणा";"Pharsana";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Namkeen";"भडंग";"Bhadang";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Namkeen";"नामकिन वाटाणा";"Namkin peas";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Namkeen";"फुटाणे";"Futane";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Namkeen";"केळीचे वेफर्स";"Banana Wafers";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Namkeen";"खारेशेंगदाने";"Namkin Groundnuts";"फरसाण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
